attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,event
37,61,26367,22401,1384,16832,10693,4340,4616,1907,R
38,53,20000,13627,9331,16050,6552,6664,1489,1032,R
34,57,19076,23799,11224,13171,8104,8334,3790,1339,R
20,63,30090,50635,49786,11778,9631,3523,1907,1855,R
24,69,105642,15778,4706,19626,5328,7539,3435,2406,R
30,66,26783,7455,9421,12339,12102,12176,8355,1646,R
27,78,14083,9973,15999,28008,6568,7115,4679,1199,R
48,57,32103,22625,7440,19380,5948,15952,3158,1053,R
40,63,27347,27284,25661,21165,6204,11794,1789,1014,R
20,80,19521,46103,19661,25731,11134,3669,4114,1091,R
1,96,6132,9660,23365,32802,6350,2774,1420,1517,R
1,97,13124,20930,35699,7659,5399,7194,3779,728,R
16,91,3286,19160,11081,6324,3949,3211,1618,538,R
26,81,12416,15189,19875,9532,9043,4173,2651,1466,R
30,75,22859,15410,10502,17857,16038,9106,2353,1304,R
17,60,3291,55167,7294,13789,4417,4258,1969,1521,R
27,51,16467,27495,11560,4579,7309,10959,1002,2122,R
29,57,14004,11805,6649,40467,6283,6866,2316,1206,R
21,63,23016,12589,4744,17992,5672,3409,2350,540,R
35,67,48595,7945,3813,7166,9289,4242,1248,717,R
30,69,25484,35043,10416,9141,3806,9331,1336,1224,R
29,60,23129,12565,17279,2408,5412,2443,1946,1081,R
21,54,22689,24982,4619,3785,8870,2229,2036,1410,R
14,34,10229,103519,2398,3903,7152,7009,3003,1393,R
4,34,28133,32491,11088,28823,15634,6161,3489,1538,R
17,23,73289,15796,178,12455,12105,9016,2720,1474,R
30,35,16088,21738,13224,12319,7991,11175,2921,848,R
40,54,467153,72365,21464,11515,3317,16647,3426,746,R
